service_id,date,exception_type
288806_236911,20250423,2
288806_236911,20250520,2
288806_236911,20250416,2
288806_236911,20250506,2
288806_236911,20250407,2
288806_236911,20250422,2
288806_236911,20250509,2
288806_236911,20250523,2
288806_236911,20251020,2
288806_236913,20251017,2
288806_236913,20250401,2
288806_236913,20250425,2
288806_236913,20250317,2
288806_236913,20250521,2
288806_236913,20251023,2
288806_236913,20250408,2
288806_236913,20251009,2
288806_236913,20250505,2
288806_236913,20250513,2
288806_236913,20251022,2
288806_236913,20251001,2
288806_236913,20251024,2
288806_236913,20250321,2
288806_236913,20250930,2
288806_236913,20250512,2
288806_236913,20250327,2
288806_236913,20251027,2
288806_236913,20250404,2
288806_236913,20251015,2
288806_236913,20250326,2
288806_236913,20250429,2
288806_236913,20251003,2
288806_236913,20250522,2
288806_236913,20250414,2
288806_236913,20250402,2
288806_236913,20251021,2
288806_236913,20250320,2
288806_236913,20250430,2
288806_236913,20251008,2
288806_236913,20250515,2
288806_236913,20250328,2
288806_236913,20250331,2
288806_236913,20250929,2
288806_236913,20250519,2
288806_236913,20250415,2
288806_236913,20250514,2
288806_236913,20250409,2
288806_236913,20250516,2
288806_236913,20251002,2
288806_236913,20251014,2
288806_236913,20250319,2
288806_236913,20250403,2
288806_236913,20250507,2
288806_236913,20250424,2
288806_236913,20250325,2
288806_236913,20251010,2
288806_236913,20250411,2
288806_236913,20251006,2
288806_236913,20250318,2
